lang,severity,avg_similarity_baseline,avg_similarity_dp,delta
de,Critical,0.7950159242997566,0.7830089728037516,-0.012
de,Major,0.7046098951091114,0.7601370846335019,0.0555
de,Minor,0.7591512194387131,0.8055278367910047,0.0464
de,Neutral,0.8776969863193146,0.867023568718749,-0.0107
es,Critical,0.7641242473605978,0.7806402627336845,0.0165
es,Major,0.6896389708078156,0.7810491208607951,0.0914
es,Minor,0.7025847893638756,0.7792753472856345,0.0767
es,Neutral,0.7824458263367414,0.8420091746666003,0.0596
fr,Critical,0.4640819389711726,0.6264968426390127,0.1624
fr,Major,0.6772476533960019,0.7508106504084675,0.0736
fr,Minor,0.6710413027222135,0.7241374137461706,0.0531
fr,Neutral,0.8436904781826865,0.8683821990176916,0.0247
ru,Critical,0.5527474783360958,0.5938773769885302,0.0411
ru,Major,0.6789233366128158,0.7350340612434052,0.0561
ru,Minor,0.7389943722011567,0.8182072792297754,0.0792
ru,Neutral,0.8010095281945303,0.8439253544977515,0.0429
zh-CN,Critical,0.7256736606359482,0.8274052540461222,0.1017
zh-CN,Major,0.7120489863702243,0.764082688393083,0.052
zh-CN,Minor,0.690332945959332,0.8065146207918924,0.1162
zh-CN,Neutral,0.7707573272439554,0.8659638638573665,0.0952
