lang,severity,avg_similarity_baseline,avg_similarity_ner,delta
de,Critical,0.7950159242997566,0.8458066925406456,0.0508
de,Major,0.7046098951091114,0.7746042695011182,0.07
de,Minor,0.7591512194387131,0.8312316924923526,0.0721
de,Neutral,0.8776969863193146,0.7612370176992699,-0.1165
es,Critical,0.7641242473605978,0.6136704878198603,-0.1505
es,Major,0.6896389708078156,0.6937003291215081,0.0041
es,Minor,0.7025847893638756,0.7388020697919124,0.0362
es,Neutral,0.7824458263367414,0.6484977303877134,-0.1339
fr,Critical,0.4640819389711726,0.3905054015305005,-0.0736
fr,Major,0.6772476533960019,0.728390310025052,0.0511
fr,Minor,0.6710413027222135,0.7278591258757456,0.0568
fr,Neutral,0.8436904781826865,0.7011584273382585,-0.1425
ru,Critical,0.5527474783360958,0.4639146850246823,-0.0888
ru,Major,0.6789233366128158,0.7818777692860025,0.103
ru,Minor,0.7389943722011567,0.8169408909170754,0.0779
ru,Neutral,0.8010095281945303,0.7970496981364693,-0.004
zh-CN,Critical,0.7256736606359482,0.677259067632258,-0.0484
zh-CN,Major,0.7120489863702243,0.709635387004858,-0.0024
zh-CN,Minor,0.690332945959332,0.6653771701451783,-0.025
zh-CN,Neutral,0.7707573272439554,0.7665171482650164,-0.0042
