lang,severity,avg_f1_baseline,avg_em_baseline,avg_f1_dp,avg_em_dp,delta_f1,delta_em
de,Critical,0.6623931623931624,0.5833333333333334,0.5210611037139675,0.1666666666666666,-0.1413,-0.4167
de,Major,0.5514061554729646,0.3527583527583527,0.5750797454964118,0.2401847575057736,0.0237,-0.1126
de,Minor,0.6238037235777483,0.3970315398886827,0.6546543435566569,0.2430939226519337,0.0309,-0.1539
de,Neutral,0.765132654690632,0.5367647058823529,0.7500924220269888,0.4352941176470588,-0.015,-0.1015
es,Critical,0.5738769556137315,0.2921348314606741,0.5775088360577474,0.2134831460674157,0.0036,-0.0787
es,Major,0.5351945260389918,0.25,0.609532602506208,0.2083333333333333,0.0743,-0.0417
es,Minor,0.541993697617659,0.2605740181268882,0.6053170820236384,0.2361427486712224,0.0633,-0.0244
es,Neutral,0.6541967278131572,0.332,0.7018552442376411,0.2734375,0.0477,-0.0586
fr,Critical,0.1065197428833792,0.0,0.3391028301739123,0.0,0.2326,0.0
fr,Major,0.5269609561338885,0.2642857142857143,0.5582838041478079,0.1428571428571428,0.0313,-0.1214
fr,Minor,0.4815636806382201,0.2607142857142857,0.524094602946652,0.1537102473498233,0.0425,-0.107
fr,Neutral,0.6918522110393297,0.4851752021563342,0.7055517040333374,0.3076923076923077,0.0137,-0.1775
ru,Critical,0.4352777777777777,0.15,0.4587200575517056,0.0,0.0234,-0.15
ru,Major,0.496065059178115,0.1486486486486486,0.5760433697411897,0.0675675675675675,0.08,-0.0811
ru,Minor,0.5982976844126268,0.334975369458128,0.6506499543056848,0.2461538461538461,0.0524,-0.0888
ru,Neutral,0.6529930788123124,0.2998296422487223,0.6652694598185,0.1482112436115843,0.0123,-0.1516
zh-CN,Critical,0.5909090909090909,0.5,0.6746031746031745,0.0,0.0837,-0.5
zh-CN,Major,0.496620826507441,0.2044025157232704,0.5563651763588473,0.1257861635220125,0.0597,-0.0786
zh-CN,Minor,0.5242962221442501,0.2175,0.611270166106514,0.1360201511335012,0.087,-0.0815
zh-CN,Neutral,0.6131344966225531,0.3453996983408748,0.7046726339217849,0.2251851851851851,0.0915,-0.1202
