Language,Severity,Perturbation,F1,EM,CHRF,BLEU
EN-ES,Minor,Spelling,0.645 / 0.642 / 0.646,0.398 / 0.390 / 0.376,69.71 / 69.24 / 70.32,55.03 / 54.33 / 54.03
EN-ES,Minor,Word Order,0.611 / 0.628 / 0.620,0.361 / 0.366 / 0.357,66.54 / 67.84 / 68.09,50.83 / 52.09 / 51.33
EN-ES,Minor,Synonym,0.624 / 0.615 / 0.613,0.382 / 0.357 / 0.345,67.05 / 66.43 / 66.72,52.79 / 51.40 / 50.87
EN-ES,Minor,Intensifier,0.614 / 0.612 / 0.611,0.354 / 0.340 / 0.325,67.36 / 66.69 / 67.54,50.88 / 50.33 / 49.64
EN-ES,Minor,Expansion (No Impact),0.609 / 0.612 / 0.606,0.351 / 0.340 / 0.320,66.52 / 66.47 / 66.59,50.03 / 49.81 / 48.47
EN-ES,Critical,Expansion (Impact),0.589 / 0.595 / 0.596,0.335 / 0.318 / 0.310,64.60 / 65.26 / 65.68,47.66 / 47.64 / 47.01
EN-ES,Critical,Omission,0.557 / 0.579 / 0.568,0.321 / 0.321 / 0.314,60.92 / 62.99 / 62.67,46.27 / 47.65 / 46.46
EN-ES,Critical,Alteration,0.496 / 0.523 / 0.528,0.262 / 0.264 / 0.268,55.76 / 58.38 / 59.33,40.00 / 42.11 / 42.44
EN-FR,Minor,Spelling,0.637 / 0.631 / 0.625,0.394 / 0.369 / 0.366,68.81 / 67.85 / 68.19,53.91 / 53.23 / 52.33
EN-FR,Minor,Word Order,0.604 / 0.595 / 0.599,0.359 / 0.336 / 0.332,65.99 / 64.77 / 65.87,50.19 / 48.84 / 48.81
EN-FR,Minor,Synonym,0.616 / 0.609 / 0.605,0.377 / 0.347 / 0.342,66.63 / 65.61 / 65.78,51.72 / 50.90 / 50.22
EN-FR,Minor,Intensifier,0.616 / 0.601 / 0.613,0.366 / 0.335 / 0.336,67.17 / 65.43 / 67.41,51.15 / 49.53 / 50.04
EN-FR,Minor,Expansion (No Impact),0.612 / 0.603 / 0.605,0.358 / 0.327 / 0.330,66.15 / 65.36 / 66.26,50.11 / 49.01 / 49.01
EN-FR,Critical,Expansion (Impact),0.600 / 0.583 / 0.581,0.343 / 0.304 / 0.314,65.54 / 63.64 / 64.30,48.81 / 46.16 / 46.31
EN-FR,Critical,Omission,0.575 / 0.570 / 0.568,0.337 / 0.311 / 0.312,62.16 / 61.41 / 61.64,47.58 / 46.57 / 46.20
EN-FR,Critical,Alteration,0.469 / 0.488 / 0.492,0.251 / 0.240 / 0.244,52.40 / 54.84 / 55.64,37.74 / 38.98 / 39.04
EN-HI,Minor,Spelling,0.627 / 0.638 / 0.631,0.402 / 0.388 / 0.383,68.43 / 69.45 / 69.57,54.05 / 54.77 / 53.83
EN-HI,Minor,Word Order,0.572 / 0.576 / 0.583,0.343 / 0.328 / 0.329,62.96 / 63.71 / 64.54,47.92 / 47.99 / 48.08
EN-HI,Minor,Synonym,0.608 / 0.611 / 0.605,0.365 / 0.356 / 0.345,65.98 / 66.78 / 66.51,51.20 / 51.84 / 50.72
EN-HI,Minor,Intensifier,0.613 / 0.606 / 0.608,0.361 / 0.343 / 0.335,67.00 / 66.85 / 67.28,51.28 / 50.70 / 50.42
EN-HI,Minor,Expansion (No Impact),0.608 / 0.614 / 0.626,0.371 / 0.358 / 0.367,66.67 / 67.59 / 68.54,51.31 / 51.68 / 52.63
EN-HI,Critical,Expansion (Impact),0.595 / 0.586 / 0.592,0.358 / 0.329 / 0.325,65.06 / 64.82 / 65.46,49.30 / 48.09 / 48.12
EN-HI,Critical,Omission,0.541 / 0.539 / 0.524,0.321 / 0.300 / 0.290,59.51 / 59.76 / 59.05,45.27 / 44.55 / 43.15
EN-HI,Critical,Alteration,0.536 / 0.548 / 0.555,0.309 / 0.298 / 0.293,59.12 / 60.83 / 61.95,44.54 / 45.59 / 45.74
EN-TL,Minor,Spelling,0.682 / 0.661 / 0.681,0.467 / 0.424 / 0.445,72.39 / 70.58 / 72.86,59.99 / 57.52 / 59.54
EN-TL,Minor,Word Order,0.620 / 0.623 / 0.646,0.397 / 0.381 / 0.403,67.13 / 67.44 / 69.72,53.17 / 53.02 / 55.11
